UT,N_ION,VX_ION,VY_ION,VZ,TX_ION,TY_ION,TZ_ION,VT_ION,TT_ION
2009-09-15T16:46:35.923Z,25.334855,-105.02624,-51.453627,-37.538222,185.73341,174.98406,135.7951,122.8295768,289.0616371
2009-09-15T16:46:39.055Z,24.693065,-95.378703,-42.293879,-35.994475,186.43078,191.88871,155.6306,110.3697033,309.5134834
2009-09-15T16:46:42.188Z,25.830691,-104.37589,-33.797242,-36.399565,183.78969,174.01898,156.48456,115.5919907,297.5712907
2009-09-15T16:46:45.320Z,26.734949,-93.273313,-28.638826,-34.558351,187.94222,184.50294,154.96073,103.510255,305.5755893
2009-09-15T16:46:48.452Z,26.297354,-84.707332,-33.855494,-36.656675,185.15305,174.79377,148.48464,98.31194429,294.7578706
2009-09-15T16:46:51.584Z,24.517912,-78.5634,-43.788918,-37.586221,190.34284,182.97987,162.56786,97.4802604,310.0650555
2009-09-15T16:46:54.716Z,24.838756,-77.280737,-51.966367,-44.393139,187.75503,184.2507,151.60109,103.1676616,303.6168016
2009-09-15T16:46:57.848Z,25.305452,-77.814646,-49.928108,-39.240348,195.73418,183.77951,149.03202,100.437742,307.0786878
2009-09-15T16:47:00.980Z,23.175972,-79.302335,-39.041672,-32.916788,219.66934,214.151,165.19497,94.321935,348.4316975
2009-09-15T16:47:04.112Z,24.138567,-59.578716,-45.836965,-33.291218,210.30374,197.74679,153.5696,82.21286977,326.9787119
2009-09-15T16:47:07.244Z,22.242457,-72.387048,-56.233186,-29.526879,210.93699,211.0882,155.21353,96.30105144,336.3686695
2009-09-15T16:47:10.376Z,20.521374,-69.264377,-59.850449,-23.23014,223.62671,220.60754,162.22171,94.44188462,353.5427489
2009-09-15T16:47:13.508Z,21.892352,-77.760234,-54.381845,-26.572463,209.4543,213.65683,161.48875,98.54001648,339.9984723
2009-09-15T16:47:16.641Z,23.350839,-78.580981,-44.885549,-30.261094,205.96916,201.80736,152.16643,95.42230816,326.043138
2009-09-15T16:47:19.773Z,22.913254,-85.367328,-47.935901,-34.713003,214.24764,211.73138,153.51656,103.8769651,338.0821834
2009-09-15T16:47:22.905Z,22.067287,-94.512431,-48.165155,-22.758335,228.08644,214.09955,146.40308,108.491583,345.3923903
2009-09-15T16:47:26.037Z,24.867598,-86.13473,-52.730667,-41.214346,197.52865,191.15418,149.93052,109.0794998,313.1080467
2009-09-15T16:47:29.169Z,21.979719,-102.22254,-52.817747,-35.660498,226.18265,218.40236,163.01147,120.4609198,354.1622811
2009-09-15T16:47:32.301Z,18.770976,-81.486404,-73.154875,-32.913763,229.32976,227.0143,167.32041,114.3459032,363.4883091
2009-09-15T16:47:35.433Z,19.354353,-99.426864,-64.431061,-25.07497,248.33772,245.2929,160.56084,121.1025063,384.2134996
2009-09-15T16:47:38.565Z,21.162871,-77.441235,-53.811736,-15.216162,229.68306,219.42828,152.07341,95.52161743,352.1780802
2009-09-15T16:47:41.697Z,20.696624,-75.392824,-85.954769,-44.768791,210.37845,198.5405,144.06432,122.7865826,323.1593271
2009-09-15T16:47:44.829Z,19.851127,-80.987596,-93.790241,-49.214599,219.52473,216.99254,143.55688,133.3329545,340.4195166
2009-09-15T16:47:47.961Z,18.801384,-88.554936,-83.389302,-44.61268,233.36205,240.4218,175.9667,129.5609648,378.4504826
2009-09-15T16:47:51.093Z,21.456531,-82.506067,-69.087374,-33.072792,222.62059,207.55779,143.52974,112.5794204,336.5129263
2009-09-15T16:47:54.226Z,20.786034,-86.945703,-78.070757,-38.546008,240.04839,240.87832,150.77269,123.0463047,371.9919336
2009-09-15T16:47:57.358Z,22.624474,-77.953032,-58.074065,-39.272305,211.40443,195.92016,157.94923,104.8407658,328.67081
2009-09-15T16:48:00.490Z,23.529407,-73.9983,-51.367076,-50.072559,194.642,195.02641,166.40926,103.0610793,321.8895006
2009-09-15T16:48:03.622Z,25.659748,-86.180109,-55.151375,-35.852692,177.239,174.19088,133.32273,108.4163312,282.0125461
2009-09-15T16:48:06.754Z,25.368571,-99.085922,-74.113478,-50.73646,180.35295,172.70379,139.95031,133.7348718,286.2514191
2009-09-15T16:48:09.886Z,26.040215,-103.6826,-75.330494,-46.11485,180.1714,175.70714,130.21264,136.2033196,283.3550141
2009-09-15T16:48:13.018Z,26.945309,-113.03158,-70.648449,-48.700158,170.46212,162.95639,121.35071,141.9121095,265.2133372
2009-09-15T16:48:16.150Z,25.107708,-96.313133,-66.580234,-37.555871,165.44039,158.86498,117.41161,122.9617444,257.670508
2009-09-15T16:48:19.282Z,22.540556,-98.253684,-79.418853,-45.994794,190.8084,178.37206,129.39727,134.4494764,291.4928657
2009-09-15T16:48:22.414Z,21.840763,-97.073596,-78.705693,-37.676737,201.4004,195.8239,135.63305,130.5274135,311.9382073
2009-09-15T16:48:25.546Z,21.461922,-91.280214,-77.510696,-32.418024,213.19744,209.30622,144.61614,124.0601215,331.9278086
2009-09-15T16:48:28.679Z,21.287328,-88.64453,-70.078099,-28.020856,208.73902,211.95685,149.42327,116.4214801,332.9038876
2009-09-15T16:48:31.811Z,21.375359,-103.06905,-76.770895,-38.363494,221.83463,217.20655,153.76197,134.1221721,346.4563924
2009-09-15T16:48:34.943Z,21.463393,-105.80147,-67.25092,-29.46847,234.79243,239.06296,152.6336,128.7828716,368.2059205
2009-09-15T16:48:38.075Z,20.296573,-114.8588,-66.463757,-22.219064,242.48866,249.76009,155.48964,134.5498485,381.2582864
2009-09-15T16:48:41.207Z,24.178425,-102.10002,-34.742352,-6.3569286,209.97177,223.96581,141.15495,108.0363626,337.8957652
2009-09-15T16:48:44.339Z,25.842468,-106.24907,-39.830396,-19.402854,189.14533,181.35687,129.63768,115.1164457,292.3562865
2009-09-15T16:48:47.471Z,25.434473,-110.6499,-37.943188,-20.921564,182.91577,190.04128,131.72729,118.8309628,294.832064
2009-09-15T16:48:50.603Z,24.76379,-110.13882,-48.749521,-27.238085,199.22373,179.62595,135.79335,123.4867958,300.6582951
2009-09-15T16:48:53.735Z,26.077728,-109.60442,-58.615648,-31.941836,190.01371,192.34557,142.43576,128.3323964,305.5977323
2009-09-15T16:48:56.867Z,26.078321,-103.33413,-46.875532,-24.559465,195.54629,192.57189,149.66957,116.0966203,312.6072049
2009-09-15T16:48:59.999Z,25.290858,-112.90171,-40.763538,-32.561686,194.11693,186.70028,151.97288,124.3733313,309.2476893
2009-09-15T16:49:03.131Z,23.219085,-111.03465,-55.352275,-39.328903,197.54082,196.85847,153.34227,130.1511831,318.2600895
2009-09-15T16:49:06.264Z,23.628257,-113.54034,-49.119024,-31.686,207.78936,195.23103,144.70496,127.703132,319.7359827
2009-09-15T16:49:09.396Z,23.716365,-102.85324,-58.09284,-34.827399,203.10022,202.09447,147.08484,123.1524046,322.0649381
