,UT,N_ION,VX_ION,VY_ION,VZ,TX_ION,TY_ION,TZ_ION,VT_ION,TT_ION
1655,2009-09-15T12:26:25.584Z,0.56820781,-0.098556641,11.295414,-11.43994,3094.3794,3166.7381,2546.4615,16.0769499,5107.62961
1656,2009-09-15T12:26:28.716Z,0.59734667,-0.14304805,-3.1368733,1.6229658,2916.4137,2951.0505,2287.0349,3.534749614,4737.583409
1657,2009-09-15T12:26:31.849Z,0.59734667,2.9136941,-5.7655697,-6.4390555,2911.5034,2931.8192,2374.6511,9.121011074,4765.646201
1658,2009-09-15T12:26:34.981Z,0.59734667,10.845579,-5.991049,0.48294869,2919.9263,2889.8022,2292.0405,12.39969723,4704.293359
1659,2009-09-15T12:26:38.113Z,0.56820781,-5.8236175,0.78856653,0.63781298,3108.8404,3109.0723,2441.9608,5.911274258,5029.353015
1660,2009-09-15T12:26:41.245Z,0.56820774,6.687988,-2.4230248,1.7833251,2951.0118,2994.8478,2454.5566,7.333517647,4868.514362
1661,2009-09-15T12:26:44.377Z,0.5973466,-0.76491881,-1.1343457,-2.9184456,3108.1113,3055.7737,2481.8487,3.223222871,5015.743387
1662,2009-09-15T12:26:47.509Z,0.56820774,0.42304027,-4.6991165,-5.9907271,3126.6518,3110.605,2425.2733,7.625579987,5033.26589
1663,2009-09-15T12:26:50.641Z,0.53906888,7.7373578,11.578878,-12.162079,3207.7566,3158.5276,2538.6372,18.48927492,5168.237401
1664,2009-09-15T12:26:53.773Z,0.5973466,0.76869226,-2.547231,-6.3368762,2934.351,2966.2341,2340.5247,6.872792266,4784.037667
1665,2009-09-15T12:26:56.905Z,0.5973466,5.7572418,-4.852141,14.656044,2848.6858,2861.122,2357.8298,16.4769151,4675.509732
1666,2009-09-15T12:27:00.037Z,0.56820774,5.6638828,5.344536,6.4515474,3101.0519,3053.0996,2503.6215,10.11267014,5020.56378
1667,2009-09-15T12:27:03.170Z,0.5973466,-8.4694707,-5.3291877,-4.1016597,2942.7817,2987.6101,2354.5438,10.81460992,4809.329969
1668,2009-09-15T12:27:06.302Z,0.53906888,-2.9295984,3.422674,-10.950488,3337.2351,3244.2357,2584.5416,11.84104858,5323.726014
1669,2009-09-15T12:27:09.434Z,0.5973466,-1.1175304,14.552759,-6.2788126,2877.1808,2930.4356,2345.042,15.88883748,4729.148353
1670,2009-09-15T12:27:12.566Z,0.5973466,-4.266923,5.2469802,-4.4160765,2997.7709,2839.9908,2299.2605,8.077076498,4726.391537
1671,2009-09-15T12:27:15.698Z,0.56820774,1.523896,4.0350492,-4.3113122,3034.9159,3003.9891,2372.2544,6.098466525,4884.900815
1672,2009-09-15T12:27:18.830Z,0.53906888,9.6624134,5.6119304,-5.2902071,3186.966,3136.7834,2577.0046,12.36294005,5161.115683
