UT,B_TOTAL,BX,BY,BZ
2009-09-15T11:15:08.381Z,177.374,-38.2392,120.624,124.294
2009-09-15T11:15:11.514Z,177.332,-38.2524,120.75,124.109
2009-09-15T11:15:14.646Z,177.137,-38.1457,120.368,124.234
2009-09-15T11:15:17.778Z,176.937,-38.3257,120.303,123.955
2009-09-15T11:15:20.910Z,176.825,-38.4922,120.141,123.901
2009-09-15T11:15:24.042Z,176.611,-38.3984,119.9,123.859
2009-09-15T11:15:27.174Z,176.56,-38.4944,119.974,123.684
2009-09-15T11:15:30.306Z,176.34,-38.3052,119.623,123.77
2009-09-15T11:15:33.438Z,176.178,-38.3066,119.521,123.637
2009-09-15T11:15:36.570Z,176.05,-38.2249,119.486,123.514
2009-09-15T11:15:39.702Z,175.866,-37.9911,119.659,123.155
2009-09-15T11:15:42.835Z,175.724,-38.0623,119.372,123.21
2009-09-15T11:15:45.967Z,175.43,-37.9692,119.08,123.101
2009-09-15T11:15:49.099Z,175.286,-38.066,119.096,122.85
2009-09-15T11:15:52.231Z,175.151,-37.8889,118.95,122.855
2009-09-15T11:15:55.363Z,174.947,-38.0561,118.73,122.724
2009-09-15T11:15:58.495Z,174.8,-37.9875,118.836,122.434
2009-09-15T11:16:01.627Z,174.739,-37.8225,118.888,122.347
2009-09-15T11:16:04.759Z,174.585,-37.811,118.639,122.372
2009-09-15T11:16:07.891Z,174.433,-37.7296,118.589,122.23
2009-09-15T11:16:11.023Z,174.172,-37.5535,118.364,122.13
2009-09-15T11:16:14.156Z,174.134,-37.7321,118.4,121.984
2009-09-15T11:16:17.288Z,173.904,-37.6257,117.997,122.08
2009-09-15T11:16:20.420Z,173.735,-37.64,118.043,121.791
2009-09-15T11:16:23.552Z,173.583,-37.7112,117.749,121.836
2009-09-15T11:16:26.684Z,173.353,-37.9044,117.818,121.381
2009-09-15T11:16:29.816Z,173.156,-37.7149,117.481,121.486
2009-09-15T11:16:32.948Z,173.027,-37.7859,117.201,121.55
2009-09-15T11:16:36.080Z,172.821,-37.7178,117.27,121.212
2009-09-15T11:16:39.212Z,172.739,-37.6358,117.264,121.126
2009-09-15T11:16:42.344Z,172.487,-37.5295,116.846,121.203
2009-09-15T11:16:45.477Z,172.427,-37.7911,116.823,121.059
2009-09-15T11:16:48.609Z,172.225,-37.6973,116.59,121.026
2009-09-15T11:16:51.741Z,172.121,-37.6982,116.524,120.941
2009-09-15T11:16:54.873Z,172.016,-37.6163,116.503,120.837
2009-09-15T11:16:58.005Z,171.755,-37.4403,116.278,120.737
2009-09-15T11:17:01.137Z,171.599,-37.5372,116.287,120.476
2009-09-15T11:17:04.269Z,171.48,-37.3727,116.303,120.342
2009-09-15T11:17:07.401Z,171.363,-37.291,116.275,120.228
2009-09-15T11:17:10.533Z,171.114,-37.1148,116.057,120.138
2009-09-15T11:17:13.665Z,170.959,-37.1033,115.808,120.163
2009-09-15T11:17:16.798Z,170.693,-37.0229,115.686,119.925
2009-09-15T11:17:19.930Z,170.604,-37.1891,115.538,119.89
2009-09-15T11:17:23.062Z,170.302,-37.109,115.394,119.624
2009-09-15T11:17:26.194Z,170.227,-37.2052,115.454,119.43
2009-09-15T11:17:29.326Z,170.075,-37.2764,115.16,119.475
2009-09-15T11:17:32.458Z,169.84,-37.2656,114.859,119.434
2009-09-15T11:17:35.590Z,169.831,-37.5396,115.02,119.179
2009-09-15T11:17:38.722Z,169.621,-37.2675,114.721,119.255
2009-09-15T11:17:41.854Z,169.395,-37.2823,114.731,118.918
2009-09-15T11:17:44.986Z,169.289,-37.3531,114.466,119.001
2009-09-15T11:17:48.119Z,169.103,-37.272,114.394,118.829
2009-09-15T11:17:51.251Z,169.116,-37.3546,114.356,118.859
2009-09-15T11:17:54.383Z,169.003,-37.4383,114.239,118.785
2009-09-15T11:17:57.515Z,168.87,-37.1912,114.293,118.622
2009-09-15T11:18:00.647Z,168.632,-37.015,114.082,118.54
2009-09-15T11:18:03.779Z,168.455,-37.0037,113.818,118.547
2009-09-15T11:18:06.911Z,168.288,-37.1007,113.82,118.277
2009-09-15T11:18:10.043Z,168.263,-37.0181,113.849,118.239
2009-09-15T11:18:13.175Z,168.144,-36.8537,113.866,118.105
2009-09-15T11:18:16.307Z,167.885,-36.6077,113.841,117.837
2009-09-15T11:18:19.440Z,167.708,-36.5964,113.577,117.843
2009-09-15T11:18:22.572Z,167.472,-36.5028,113.321,117.782
2009-09-15T11:18:25.704Z,167.224,-36.6005,113.272,117.446
